Sample	x	y
X1	-19.2572885427745	14.3881055537564
X10	-4.22073108497809	3.60105687333722
X11	17.4825503496343	6.80387714886608
X12	-1.81076901698197	-4.64301881950507
X13	1.56507207494575	2.52910652431265
X14	19.1504499708116	-6.46022656663476
X15	36.6500242482362	-3.94471613949975
X16	2.54926403813709	-31.3612940641859
X2	-4.98057993637508	15.1644942096443
X3	11.4080324807954	9.01976420871964
X4	-18.417050393604	-9.62729402783574
X5	-8.57451923036545	1.94368560591143
X6	3.52192477564628	5.31023205122718
X7	-24.5480833521062	-1.75761393420194
X8	-15.3852261548336	-13.037750906663
X9	4.86692977381214	12.0715922827512
