Sample	Chromosome X	Chromosome Y
1	2135786.0	6708.0
10	2257799.0	8553.0
11	2747945.0	10714.0
12	2976373.0	11218.0
13	1403909.0	4570.0
14	2483658.0	9526.0
15	2603474.0	9961.0
16	2873140.0	16473.0
2	1338514.0	4723.0
3	2747497.0	10103.0
4	2094785.0	7793.0
5	2753589.0	8852.0
6	2947900.0	11527.0
7	2699606.0	10425.0
8	2308645.0	9910.0
9	3029689.0	11115.0
