Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
1	188.0	217.5	199.0	125.5	104.0	111.5	121.5	126.5	144.5	191.0	237.5	285.0	349.5	429.0	555.0	787.5	1284.5	2070.0	3322.5	5707.0	9531.0	15520.0	23845.5	34414.0	48714.0	68634.0	94373.5	127464.5	170346.5	224128.5	292352.0	376912.0	479161.5	602392.0	749246.5	918515.5	1109479.5	1313123.0	1506716.0	1679672.0	1838938.5	1980062.0	2106003.0	2206378.0	2267607.0	2320985.5	2364640.5	2378912.5	2380456.0	2398807.5	2469382.5	2607608.0	2736279.5	2727569.0	2585567.5	2402050.0	2256662.5	2157879.5	2068805.0	1988746.0	1895933.0	1777436.0	1648048.5	1509092.5	1362082.0	1210519.0	1055206.5	912435.5	780557.0	652911.0	538083.0	441512.5	362742.0	294168.5	240939.0	204103.5	171965.5	143340.0	120111.5	99847.5	82354.0	67939.5	55326.5	43494.5	32435.0	24046.5	17903.0	12287.0	7744.5	4796.0	2903.5	1539.5	642.5	326.0	194.5	138.5	155.5	246.0	629.5	508.5	41.0
10	878.0	1018.0	962.0	681.5	534.5	452.0	414.5	386.5	399.5	459.5	532.5	588.5	644.5	792.0	1009.5	1297.5	1738.0	2298.0	3347.5	5360.5	8510.0	12976.5	19020.0	26825.0	36969.0	51290.5	70313.0	93574.0	121360.5	154125.5	192544.5	236797.0	289798.0	355686.5	436397.5	536370.0	666212.0	830786.5	1024483.0	1237287.0	1473364.5	1736413.0	1993366.0	2215409.5	2391790.5	2545832.0	2670876.5	2733831.0	2765638.0	2799107.0	2841088.0	2871797.5	2870453.0	2835469.0	2781120.5	2707319.0	2611877.5	2525971.5	2455870.5	2375971.0	2277352.5	2150174.0	2007567.0	1848688.0	1667537.5	1482160.5	1293035.5	1122303.5	964311.5	808404.5	668140.0	548604.5	447405.5	361921.5	301607.5	257021.0	212334.0	176850.0	151142.0	126236.0	104337.5	85500.0	69225.5	55247.5	43164.5	33673.5	26010.0	19452.0	14007.5	10072.5	7184.5	4154.0	1658.5	742.0	508.5	587.5	1327.0	4095.0	14200.0	12470.0	1429.0
11	60.0	70.5	94.0	106.5	112.0	124.5	139.5	155.5	174.5	204.5	268.0	345.5	403.5	493.5	667.5	1003.0	1517.0	2207.0	3407.5	5597.5	8940.0	13963.0	21267.5	30059.0	40883.0	56726.0	78606.5	104905.0	136498.5	174470.5	220469.5	273279.0	334844.5	413143.5	515480.0	644909.5	809099.0	1021244.5	1270479.0	1539993.5	1827408.5	2125039.0	2416178.5	2674329.5	2881304.5	3061553.5	3216783.0	3312859.0	3357635.5	3394914.0	3456635.5	3499921.0	3484163.0	3454850.5	3434320.0	3384601.5	3294588.5	3188063.5	3088494.0	2988576.0	2867990.0	2715039.5	2524705.0	2301645.5	2065585.5	1826815.0	1584516.5	1370079.5	1178990.5	990270.5	816937.5	675177.0	558356.5	451884.5	370495.0	313888.0	262265.5	218631.5	186116.5	156826.5	128957.5	104911.0	85918.5	68279.5	52484.5	41430.0	32430.5	23728.5	16419.0	10891.0	6611.0	3410.5	1314.5	573.5	339.0	308.5	592.5	1513.0	4597.5	3692.5	199.0
12	31.0	45.5	60.0	58.5	63.0	88.0	130.5	173.0	210.0	232.5	267.5	337.0	399.5	502.5	691.5	983.5	1441.0	2227.0	3611.5	5972.5	9309.5	14369.0	21840.0	31322.0	43198.0	59885.5	82468.5	109963.0	143357.0	183485.0	233127.0	292353.0	364358.5	457545.0	580769.0	743241.5	952483.0	1217413.0	1522798.5	1850624.0	2191170.5	2526316.0	2840347.5	3107839.5	3313084.0	3480449.5	3610438.0	3676834.5	3701491.0	3727187.0	3767486.0	3788093.0	3754407.5	3704615.0	3668165.0	3594389.5	3474971.5	3356012.5	3253950.0	3146891.5	3014584.5	2852803.5	2654790.0	2423320.0	2182513.0	1936579.0	1683895.5	1458445.5	1255815.0	1060181.0	881943.5	731119.0	607052.0	498956.0	415851.0	356378.0	301453.5	253565.5	215983.0	181818.5	150674.0	123046.0	99719.0	79365.0	61479.5	48132.5	37350.5	26842.5	18201.0	12288.5	7861.5	4153.0	1619.0	670.0	354.5	285.0	425.0	930.5	2909.0	2437.5	194.5
13	24.0	32.0	42.0	43.5	46.5	55.0	71.0	86.5	96.0	109.5	132.0	159.5	189.0	237.5	309.5	445.0	684.0	1003.0	1569.5	2721.5	4530.5	7144.0	11163.0	16590.0	23586.0	34276.0	50232.0	72171.5	100936.5	137509.5	183125.5	235679.0	296239.0	368674.0	454577.0	552049.5	658734.0	773526.0	887986.0	996524.0	1101394.5	1201728.5	1294206.0	1372074.0	1431954.0	1488269.0	1538540.0	1565149.0	1575145.5	1589101.0	1615568.0	1630401.5	1615002.5	1595638.0	1581450.0	1549666.5	1501886.0	1450745.5	1405852.5	1361362.0	1304670.0	1234793.0	1150808.0	1051565.0	944110.0	834458.5	724582.5	627371.0	539870.0	453771.5	375079.0	309851.0	255899.0	209117.0	173597.5	147570.5	123787.5	103713.0	88456.5	74631.5	61403.5	49890.5	40467.0	31801.5	24376.5	19109.5	14740.0	10463.5	7078.5	4741.0	3062.0	1652.5	576.5	222.5	116.0	89.5	146.5	367.0	1142.5	966.0	96.5
14	25.0	38.0	55.0	57.5	59.5	70.5	89.5	111.0	133.5	164.0	211.0	268.0	318.5	403.5	527.0	699.5	1024.0	1522.0	2461.5	4034.0	6259.5	9630.5	14877.5	21918.0	30308.0	42119.5	58756.5	80335.0	107928.0	141823.5	183682.5	235187.5	298974.5	381058.5	489710.0	626424.5	792139.5	991386.0	1216544.0	1451717.5	1690736.0	1929258.5	2164980.5	2385936.0	2564489.5	2721518.0	2866513.0	2963992.0	3012735.0	3049322.0	3104604.5	3146276.5	3132299.0	3098729.5	3075453.5	3020549.5	2928665.0	2829103.5	2740873.0	2652189.5	2540107.5	2401759.0	2230696.0	2034838.0	1826807.0	1612258.5	1400537.5	1214698.5	1046906.5	881309.0	730147.0	605265.5	503619.5	412331.0	340565.5	291271.0	245947.5	206559.0	177245.5	150147.5	124613.0	100904.0	80713.5	63250.5	48098.5	37642.5	29491.5	22023.0	15278.0	9676.0	5434.0	2583.5	1043.5	486.5	292.0	245.0	428.5	1081.5	3274.0	2702.5	220.5
15	87.0	105.5	110.5	89.5	79.0	80.0	102.0	133.5	149.5	168.0	203.5	244.5	299.0	402.5	539.0	735.0	1082.5	1479.0	2125.0	3548.0	5589.0	8491.0	12857.5	18270.0	24896.0	34084.5	47098.5	62761.0	81839.5	105464.0	133651.5	166886.5	207093.5	258948.5	330115.0	422650.0	541923.0	699507.0	893733.5	1119961.0	1380386.5	1667847.5	1962830.5	2243676.5	2487034.5	2707485.0	2907039.0	3045548.0	3124463.5	3189426.0	3268382.5	3338815.5	3373592.0	3385708.5	3388911.0	3346978.0	3259529.0	3164667.5	3072619.0	2976357.0	2860268.0	2710959.5	2527401.5	2311381.0	2073678.0	1830651.0	1590677.0	1379717.0	1190785.0	1003529.5	829120.5	684914.0	568221.0	466565.0	390715.5	336373.0	283519.5	239897.5	208248.0	176389.5	146467.0	120382.5	97891.0	77520.0	59940.5	47943.5	39414.5	31627.5	23711.0	16542.5	10392.0	5244.5	1853.0	686.0	381.0	349.5	597.0	1536.5	5025.0	4269.0	389.5
16	34.0	36.5	58.0	75.0	85.5	104.0	118.0	146.5	187.5	227.0	283.5	346.0	414.0	521.0	698.0	943.5	1327.5	1898.5	2938.0	4691.5	7386.5	11513.0	17541.0	25534.0	35681.5	49792.5	69368.5	93528.0	122850.5	158856.5	203568.5	259522.5	331288.5	424915.0	552254.5	722456.0	941545.0	1215708.5	1529269.5	1860846.0	2195187.5	2517504.5	2812718.5	3059060.5	3242251.0	3390048.0	3509011.0	3567721.5	3583175.0	3598753.5	3631020.0	3644739.0	3607488.5	3553482.0	3510990.5	3431158.0	3305667.5	3180915.0	3073266.0	2966992.5	2831073.5	2664778.5	2476545.5	2258625.5	2026841.0	1791698.5	1552790.0	1344452.0	1159851.5	978726.5	813159.5	674640.0	561686.0	461280.0	383176.0	328905.5	279666.5	236739.5	202851.0	171416.0	142699.0	116710.0	93629.5	72975.5	55727.0	43656.5	34149.5	25128.5	17303.0	11519.5	7211.5	3861.5	1570.5	668.0	371.0	287.5	463.5	1054.5	3060.5	2470.5	156.5
2	1403.0	1646.0	1469.5	879.5	616.5	469.5	392.5	373.5	377.0	389.5	435.5	468.5	488.0	555.5	703.0	877.0	1069.0	1385.0	2040.0	3180.5	5072.0	7959.0	11801.0	16630.0	23083.5	32398.5	45021.5	61314.5	82822.0	110205.5	143505.5	182305.5	229893.5	287872.5	357596.0	440454.5	537025.5	647148.5	760194.0	870116.0	979142.5	1087571.0	1188794.0	1270960.0	1332047.5	1388845.5	1439992.5	1470587.0	1494248.0	1526198.5	1577786.5	1658313.5	1740512.0	1773388.5	1737264.5	1651680.5	1568271.5	1508275.0	1450357.5	1394340.0	1334273.5	1255029.5	1170727.5	1079957.5	974735.5	864003.0	753086.5	656420.5	566972.5	476441.5	394241.0	325485.5	267793.0	218713.0	182845.0	156982.5	131734.0	110850.5	95727.0	81535.0	68174.0	56144.0	46194.5	37161.5	28953.0	22535.5	17413.5	12763.5	8989.5	6281.5	4220.0	2292.0	812.5	378.5	251.0	238.0	480.5	1292.0	4526.5	3941.0	368.5
