Sample	Unique Unpaired	Duplicate Unpaired
1	11177238.0	57145775.0
10	10213977.0	63114359.0
11	15040245.0	75758496.0
12	17450380.0	82265814.0
13	10695611.0	34572481.0
14	14417280.0	66913808.0
15	12450696.0	71642555.0
16	18270709.0	76659457.0
2	8666177.0	34235786.0
3	15122121.0	74864705.0
4	14587792.0	54965781.0
5	15492800.0	70555958.0
6	15013791.0	79156020.0
7	16171590.0	77654555.0
8	13729839.0	63637543.0
9	15418205.0	87719805.0
