Sample	5.0	10.0	15.0	20.0	25.0	30.0	35.0	40.0	45.0	50.0	55.0	60.0	65.0	70.0	75.0	80.0	85.0	90.0	95.0	100.0
1	78487.0	101716.0	112952.0	119673.0	124478.0	128123.0	131044.0	133410.0	135478.0	137280.0	138877.0	140313.0	141513.0	142655.0	143729.0	144726.0	145615.0	146480.0	147297.0	148116.0
10	73649.0	97396.0	109076.0	116365.0	121528.0	125305.0	128380.0	130833.0	132948.0	134843.0	136504.0	137975.0	139329.0	140541.0	141623.0	142589.0	143558.0	144452.0	145283.0	146062.0
11	86109.0	108080.0	118416.0	124783.0	129424.0	132863.0	135610.0	138057.0	140101.0	141870.0	143426.0	144855.0	146119.0	147319.0	148356.0	149318.0	150227.0	151101.0	151921.0	152696.0
12	92720.0	114324.0	123917.0	129982.0	134148.0	137373.0	139961.0	142211.0	144144.0	145778.0	147240.0	148533.0	149700.0	150791.0	151794.0	152751.0	153678.0	154531.0	155304.0	156032.0
13	77119.0	100461.0	111785.0	118820.0	123601.0	127205.0	130131.0	132640.0	134753.0	136556.0	138166.0	139540.0	140842.0	142067.0	143165.0	144197.0	145179.0	145995.0	146862.0	147598.0
14	86813.0	109310.0	119630.0	126010.0	130550.0	133963.0	136792.0	139083.0	141062.0	142792.0	144383.0	145678.0	146929.0	148042.0	149132.0	150154.0	151031.0	151908.0	152693.0	153432.0
15	83789.0	105829.0	116353.0	122827.0	127473.0	131033.0	134045.0	136421.0	138459.0	140200.0	141811.0	143243.0	144537.0	145673.0	146786.0	147784.0	148752.0	149637.0	150472.0	151198.0
16	91931.0	114214.0	124191.0	130383.0	134718.0	138013.0	140748.0	143073.0	145053.0	146774.0	148356.0	149755.0	150982.0	152207.0	153219.0	154189.0	155112.0	155967.0	156811.0	157602.0
2	69196.0	92903.0	104703.0	112355.0	117582.0	121623.0	124831.0	127352.0	129487.0	131402.0	133067.0	134553.0	135894.0	137124.0	138285.0	139284.0	140221.0	141130.0	142025.0	142813.0
3	86514.0	108497.0	118851.0	125386.0	129951.0	133388.0	136190.0	138542.0	140554.0	142275.0	143834.0	145256.0	146506.0	147724.0	148760.0	149749.0	150639.0	151449.0	152221.0	152952.0
4	85186.0	107853.0	118362.0	124618.0	129063.0	132454.0	135278.0	137598.0	139699.0	141451.0	142944.0	144317.0	145587.0	146689.0	147783.0	148773.0	149741.0	150585.0	151339.0	152102.0
5	89295.0	111736.0	121914.0	128057.0	132490.0	135731.0	138383.0	140629.0	142486.0	144200.0	145630.0	146973.0	148129.0	149216.0	150242.0	151161.0	152044.0	152898.0	153685.0	154403.0
6	88123.0	110375.0	120663.0	126916.0	131342.0	134750.0	137461.0	139759.0	141704.0	143391.0	144898.0	146236.0	147435.0	148549.0	149615.0	150602.0	151491.0	152323.0	153093.0	153851.0
7	89626.0	112143.0	122337.0	128525.0	132853.0	136131.0	138832.0	141039.0	142955.0	144667.0	146211.0	147575.0	148750.0	149826.0	150863.0	151819.0	152742.0	153582.0	154398.0	155135.0
8	82317.0	105558.0	116546.0	123078.0	127657.0	131250.0	134065.0	136495.0	138480.0	140212.0	141778.0	143155.0	144464.0	145599.0	146742.0	147749.0	148639.0	149499.0	150304.0	151079.0
9	91530.0	113078.0	123046.0	128937.0	133180.0	136528.0	139132.0	141293.0	143142.0	144833.0	146335.0	147645.0	148895.0	149976.0	151034.0	151936.0	152862.0	153699.0	154492.0	155196.0
