Sample	Mapped (with MQ>0)	MQ0
1	67454118.0	868895.0
10	72245834.0	1082502.0
11	87911368.0	2887373.0
12	97822431.0	1893763.0
13	44292345.0	975747.0
14	78678133.0	2652955.0
15	81390516.0	2702735.0
16	93268945.0	1661221.0
2	42217273.0	684690.0
3	87964318.0	2022508.0
4	68794920.0	758653.0
5	84342629.0	1706129.0
6	91788054.0	2381757.0
7	92994212.0	831933.0
8	76132595.0	1234787.0
9	93316514.0	9821496.0
