Sample	se_sense	se_antisense	failed
1	0.0169	0.9427	0.0404
10	0.0161	0.9451	0.0388
11	0.0213	0.9338	0.0449
12	0.0257	0.9462	0.0281
13	0.0132	0.9459	0.0409
14	0.022	0.9326	0.0455
15	0.0221	0.9306	0.0472
16	0.0334	0.9394	0.0272
2	0.017	0.9451	0.0379
3	0.0266	0.9279	0.0456
4	0.0212	0.9403	0.0386
5	0.0221	0.9353	0.0427
6	0.0244	0.933	0.0426
7	0.0232	0.9414	0.0353
8	0.0224	0.9372	0.0404
9	0.0193	0.9361	0.0446
